ingreso_Max_Sum;retiro_Max_Sum;suspension_temporal_Max_Sum;incapacidas_por_trabajo_Max_Sum;vacaciones_Max_Sum;cot_obligatoria_salud_Max_Sum;cot_obligatoria_salud_Max_Count;aporte_cot_obligatoria_pension_Max_Sum;aporte_cot_obligatoria_pension_Max_Count;variacion_transitoria_salario_Max_Sum;variacion_permanente_salario_Max_Sum;licencia_maternidad_Max_Sum;cot_obligatoria_arl_Max_Sum;cot_obligatoria_arl_Max_Count;valor_aportes_ccf_Max_Sum;valor_aportes_ccf_Max_Count;valor_aportes_parafiscales_sena_Max_Sum;valor_aportes_parafiscales_sena_Max_Count;valor_aportes_parafiscales_icbf_Max_Sum;valor_aportes_parafiscales_icbf_Max_Count;Tipologia;Edad_fin;Sexo_fin;YEAR;MONTH;Contribuye_salud_Sum;Contribuye_pension_Sum;Contribuye_arl_Sum;Contribuye_ccf_Sum;Contribuye_sena_Sum;Contribuye_icbf_Sum;Total_relaciones_laborales
13;4;0;0;0;1123300;28;2737600;28;3;0;0;501200;28;795600;28;18000;28;27000;28;"Dep_sec_priv";98;"M";2018;8;28;15;28;27;2;2;28
4554;7603;14;25;85;1610854600;39631;193015100;39631;1489;362;472;325595100;39631;235330300;39631;31546300;39631;164895000;39631;"Dep_No_priv";20;"F";2018;6;17689;1684;33415;2419;1544;1556;39631
6124;8415;12;12;80;1592497600;44819;186631600;44819;1428;321;24;388811400;44819;173648200;44819;23769000;44819;119429100;44819;"Dep_No_priv";20;"F";2018;5;17488;1537;38607;2301;1528;1542;44819
6398;5274;1288;116;274;1474598200;39354;4795306700;39354;18167;1179;786;424517200;39354;1197661400;39354;45472000;39354;68198600;39354;"Dep_sec_priv";20;"F";2018;5;39258;36500;38952;38863;2615;2617;39354
1;0;0;0;0;7472500;72;250000;72;0;0;0;125300;72;0;72;0;72;0;72;"Independiente";98;"M";2018;8;71;2;3;0;0;0;72
7;4;0;0;0;108979100;929;1060000;929;4;1;0;812400;929;547700;929;0;929;0;929;"Independiente";89;"M";2018;7;925;5;31;14;0;0;929
6;1;0;0;0;110089200;935;1060000;935;4;1;0;791900;935;547700;935;0;935;0;935;"Independiente";89;"M";2018;6;931;5;30;14;0;0;935
5;4;0;0;0;112580500;940;1185000;940;5;0;0;661500;940;563400;940;0;940;0;940;"Independiente";89;"M";2018;5;938;6;29;15;0;0;940
10;7;0;0;0;107975100;918;1060000;918;5;1;0;778300;918;547700;918;0;918;0;918;"Independiente";89;"M";2018;8;914;5;30;14;0;0;918
0;1;0;0;0;6067500;46;381200;46;0;1;0;24800;46;31400;46;0;46;0;46;"Independiente";100;"M";2018;6;45;3;5;2;0;0;46
